concept,gloss
πετρελαιο,ΠΕΤΡΕΛΑΙΟ
πετσετα,ΠΕΤΣΕΤΑ
πετυχαινω,ΠΕΤΥΧΑΙΝΩ
πετω,ΠΕΤΩ
πηγαινω,ΠΗΓΑΙΝΩ
πηγη,ΠΗΓΗ
πηδω,ΠΗΔΩ
πιατο,ΠΙΑΤΟ
πιθανος,ΠΙΘΑΝΟΣ
πικρος,ΠΙΚΡΟΣ
πιρουνι,ΠΙΡΟΥΝΙ
πλαστικο,ΠΛΑΣΤΙΚΟ
πλατεια,ΠΛΑΤΕΙΑ
πλατη,ΠΛΑΤΗ
πλεκω,ΠΛΕΚΩ
πλενω,ΠΛΕΝΩ
πληγη,ΠΛΗΓΗ
πληθυσμος,ΠΛΗΘΥΣΜΟΣ
πληροφορω,ΠΛΗΡΟΦΟΡΩ
πληρωνω,ΠΛΗΡΩΝΩ
πλοιο,ΠΛΟΙΟ
πλουσιος,ΠΛΟΥΣΙΟΣ
ποδηλατο,ΠΟΔΗΛΑΤΟ
ποδι,ΠΟΔΙ
ποιος,ΠΟΙΟΣ
πολη,ΠΟΛΗ
πολιτης,ΠΟΛΙΤΗΣ
πολυθρονα,ΠΟΛΥΘΡΟΝΑ
πονω,ΠΟΝΩ
πορτα,ΠΟΡΤΑ
ποσος,ΠΟΣΟΣ
ποταμι,ΠΟΤΑΜΙ
ποτε,ΠΟΤΕ
ποτηρι,ΠΟΤΗΡΙ
ποτιζω,ΠΟΤΙΖΩ
ποτο,ΠΟΤΟ
πουθενα,ΠΟΥΘΕΝΑ
πουκαμισο,ΠΟΥΚΑΜΙΣΟ
πουλι,ΠΟΥΛΙ
πουλω,ΠΟΥΛΩ
πρασινος,ΠΡΑΣΙΝΟΣ
πρεπει,ΠΡΕΠΕΙ
προβλημα,ΠΡΟΒΛΗΜΑ
προγραμμα,ΠΡΟΓΡΑΜΜΑ
προδιδω,ΠΡΟΔΙΔΩ
προεδρος,ΠΡΟΕΔΡΟΣ
προειδοποιω,ΠΡΟΕΙΔΟΠΟΙΩ
προθυμος,ΠΡΟΘΥΜΟΣ
προσβαλλω,ΠΡΟΣΒΑΛΛΩ
προσεχω,ΠΡΟΣΕΧΩ
προσκληση,ΠΡΟΣΚΛΗΣΗ
προσοχη,ΠΡΟΣΟΧΗ
προσπαθεια,ΠΡΟΣΠΑΘΕΙΑ
προστατευω,ΠΡΟΣΤΑΤΕΥΩ
προσφορα,ΠΡΟΣΦΟΡΑ
προσωρινος,ΠΡΟΣΩΡΙΝΟΣ
προτεινω,ΠΡΟΤΕΙΝΩ
προϊον,ΠΡΟΪΟΝ
πρωι,ΠΡΩΙ
πρωτα,ΠΡΩΤΑ
πρωτευουσα,ΠΡΩΤΕΥΟΥΣΑ
πως,ΠΩΣ
ραδιοφωνο,ΡΑΔΙΟΦΩΝΟ
ρευμα,ΡΕΥΜΑ
ριζα,ΡΙΖΑ
ριχνω,ΡΙΧΝΩ
ροδα,ΡΟΔΑ
ρουχισμος,ΡΟΥΧΙΣΜΟΣ
ρυζι,ΡΥΖΙ
σαββατο,ΣΑΒΒΑΤΟ
σακιδιο,ΣΑΚΙΔΙΟ
σαλατα,ΣΑΛΑΤΑ
σαλτσα,ΣΑΛΤΣΑ
σαπουνι,ΣΑΠΟΥΝΙ
σαφης,ΣΑΦΗΣ
σβηνω,ΣΒΗΝΩ
σβηνω φωτα,ΣΒΗΝΩ_ΦΩΤΑ
σειρα,ΣΕΙΡΑ
σελιδα,ΣΕΛΙΔΑ
σεπτεμβριος,ΣΕΠΤΕΜΒΡΙΟΣ
σερβιρω,ΣΕΡΒΙΡΩ
σημαντικος,ΣΗΜΑΝΤΙΚΟΣ
σημειωνω,ΣΗΜΕΙΩΝΩ
σημερα,ΣΗΜΕΡΑ
σκαβω,ΣΚΑΒΩ
σκαλα,ΣΚΑΛΑ
σκεπη,ΣΚΕΠΗ
σκεφτομαι,ΣΚΕΦΤΟΜΑΙ
σκηνη,ΣΚΗΝΗ
σκια,ΣΚΙΑ
σκληρος,ΣΚΛΗΡΟΣ
σκονη,ΣΚΟΝΗ
σκουπιζω,ΣΚΟΥΠΙΖΩ
σκουρος,ΣΚΟΥΡΟΣ
σκυλος,ΣΚΥΛΟΣ
σομπα,ΣΟΜΠΑ
σουπα,ΣΟΥΠΑ
σπορ,ΣΠΟΡ
σπουδαζω,ΣΠΟΥΔΑΖΩ
σπρωχνω,ΣΠΡΩΧΝΩ
σταθερος,ΣΤΑΘΕΡΟΣ
σταφυλι,ΣΤΑΦΥΛΙ
σταχτη,ΣΤΑΧΤΗ
στεγνος,ΣΤΕΓΝΟΣ
στενος,ΣΤΕΝΟΣ
στηθος,ΣΤΗΘΟΣ
στιγμη,ΣΤΙΓΜΗ
στραβος,ΣΤΡΑΒΟΣ
στρατιωτης,ΣΤΡΑΤΙΩΤΗΣ
στρατος,ΣΤΡΑΤΟΣ
στριβω,ΣΤΡΙΒΩ
στρογγυλος,ΣΤΡΟΓΓΥΛΟΣ
στροφη,ΣΤΡΟΦΗ
συγγενης,ΣΥΓΓΕΝΗΣ
συγγνωμη,ΣΥΓΓΝΩΜΗ
συγχρονως,ΣΥΓΧΡΟΝΩΣ
συγχωρω,ΣΥΓΧΩΡΩ
συζητηση,ΣΥΖΗΤΗΣΗ
συμβουλευω,ΣΥΜΒΟΥΛΕΥΩ
συμφωνια,ΣΥΜΦΩΝΙΑ
συναντω,ΣΥΝΑΝΤΩ
συνεννοουμαι,ΣΥΝΕΝΝΟΟΥΜΑΙ
συνηθεια,ΣΥΝΗΘΕΙΑ
συνορευω,ΣΥΝΟΡΕΥΩ
συντομος,ΣΥΝΤΟΜΟΣ
συντροφια,ΣΥΝΤΡΟΦΙΑ
συρμα,ΣΥΡΜΑ
συχνα,ΣΥΧΝΑ
σφιχτος,ΣΦΙΧΤΟΣ
σχεδιο,ΣΧΕΔΙΟ
σχεδον,ΣΧΕΔΟΝ
σχεση,ΣΧΕΣΗ
σχολειο,ΣΧΟΛΕΙΟ
σωζω,ΣΩΖΩ
σωληνας,ΣΩΛΗΝΑΣ
σωμα,ΣΩΜΑ
σωπαινω,ΣΩΠΑΙΝΩ
σωρος,ΣΩΡΟΣ
σωστος,ΣΩΣΤΟΣ
ταξι,ΤΑΞΙ
τελειωνω,ΤΕΛΕΙΩΝΩ
τελος,ΤΕΛΟΣ
τεταρτη,ΤΕΤΑΡΤΗ
τεταρτο,ΤΕΤΑΡΤΟ
τηλεφωνω,ΤΗΛΕΦΩΝΩ
τι,ΤΙ
τοπος,ΤΟΠΟΣ
τραβω,ΤΡΑΒΩ
τρενο,ΤΡΕΝΟ
τριτη,ΤΡΙΤΗ
τροχοσπιτο,ΤΡΟΧΟΣΠΙΤΟ
τρωω,ΤΡΩΩ
τσαντα,ΤΣΑΝΤΑ
τσατσαρα,ΤΣΑΤΣΑΡΑ
τσιγκουνης,ΤΣΙΓΚΟΥΝΗΣ
τυλιγω,ΤΥΛΙΓΩ
τυρι,ΤΥΡΙ
τυχερος,ΤΥΧΕΡΟΣ
τυχη,ΤΥΧΗ
τωρα,ΤΩΡΑ
υγεια,ΥΓΕΙΑ
υγρο,ΥΓΡΟ
υγρος,ΥΓΡΟΣ
υλικο,ΥΛΙΚΟ
υπαλληλος,ΥΠΑΛΛΗΛΟΣ
υπερασπιζω,ΥΠΕΡΑΣΠΙΖΩ
υπεροχος,ΥΠΕΡΟΧΟΣ
υπευθυνος,ΥΠΕΥΘΥΝΟΣ
υπογειο,ΥΠΟΓΕΙΟ
υποδεχομαι,ΥΠΟΔΕΧΟΜΑΙ
υπολογιζω,ΥΠΟΛΟΓΙΖΩ
υπομονη,ΥΠΟΜΟΝΗ
υποπτος,ΥΠΟΠΤΟΣ
υποσχομαι,ΥΠΟΣΧΟΜΑΙ
υπουργος,ΥΠΟΥΡΓΟΣ
υποφερω,ΥΠΟΦΕΡΩ
υφασμα,ΥΦΑΣΜΑ
υψος,ΥΨΟΣ
φαγητο,ΦΑΓΗΤΟ
φαναρια κυκλοφοριας,ΦΑΝΑΡΙΑ_ΚΥΚΛΟΦΟΡΙΑΣ
φανταζομαι,ΦΑΝΤΑΖΟΜΑΙ
φαρδυς,ΦΑΡΔΥΣ
φαρμακειο,ΦΑΡΜΑΚΕΙΟ
φαρμακο,ΦΑΡΜΑΚΟ
φασαρια,ΦΑΣΑΡΙΑ
φεβρουαριος,ΦΕΒΡΟΥΑΡΙΟΣ
φεγγαρι,ΦΕΓΓΑΡΙ
φερνω,ΦΕΡΝΩ
φθινοπωρο,ΦΘΙΝΟΠΩΡΟ
φιλι,ΦΙΛΙ
φιλοξενω,ΦΙΛΟΞΕΝΩ
φιλος,ΦΙΛΟΣ
φοβαμαι,ΦΟΒΑΜΑΙ
φοβος,ΦΟΒΟΣ
φοιτητης,ΦΟΙΤΗΤΗΣ
φορεμα,ΦΟΡΕΜΑ
φορτηγο,ΦΟΡΤΗΓΟ
φουστα,ΦΟΥΣΤΑ
φρεσκος,ΦΡΕΣΚΟΣ
φροντιζω,ΦΡΟΝΤΙΖΩ
φρουτο,ΦΡΟΥΤΟ
φτηνος,ΦΤΗΝΟΣ
φτιαχνω,ΦΤΙΑΧΝΩ
φτωχος,ΦΤΩΧΟΣ
φυλλο,ΦΥΛΛΟ
φυση,ΦΥΣΗ
φυτευω,ΦΥΤΕΥΩ
φυτο,ΦΥΤΟ
φωναζω,ΦΩΝΑΖΩ
φωνη,ΦΩΝΗ
φως,ΦΩΣ
φωτογραφιζω,ΦΩΤΟΓΡΑΦΙΖΩ
φωτογραφικη μηχανη,ΦΩΤΟΓΡΑΦΙΚΗ_ΜΗΧΑΝΗ
χαιρετω,ΧΑΙΡΕΤΩ
χαλι,ΧΑΛΙ
χαμηλα,ΧΑΜΗΛΑ
χαμογελο,ΧΑΜΟΓΕΛΟ
χαπι,ΧΑΠΙ
χαρα,ΧΑΡΑ
χαρακτηρας,ΧΑΡΑΚΤΗΡΑΣ
χαριζω,ΧΑΡΙΖΩ
χαρτης,ΧΑΡΤΗΣ
χαρτι,ΧΑΡΤΙ
χειμωνας,ΧΕΙΜΩΝΑΣ
χθες,ΧΘΕΣ
χιλιομετρο,ΧΙΛΙΟΜΕΤΡΟ
χιονιζω,ΧΙΟΝΙΖΩ
χιουμορ,ΧΙΟΥΜΟΡ
χοντρος,ΧΟΝΤΡΟΣ
χορευω,ΧΟΡΕΥΩ
χορτο,ΧΟΡΤΟ
χρειαζομαι,ΧΡΕΙΑΖΟΜΑΙ
χρεος,ΧΡΕΟΣ
χρημα,ΧΡΗΜΑ
χρησιμοποιω,ΧΡΗΣΙΜΟΠΟΙΩ
χρησιμος,ΧΡΗΣΙΜΟΣ
χριστουγεννα,ΧΡΙΣΤΟΥΓΕΝΝΑ
χρονος,ΧΡΟΝΟΣ
χρωμα,ΧΡΩΜΑ
χτυπω χτυπημα,ΧΤΥΠΩ,_ΧΤΥΠΗΜΑ
χωρα,ΧΩΡΑ
χωραφι,ΧΩΡΑΦΙ
χωριζω,ΧΩΡΙΖΩ
χωριο,ΧΩΡΙΟ
χωρις,ΧΩΡΙΣ
ψαχνω,ΨΑΧΝΩ
ψεμα,ΨΕΜΑ
ψηλος,ΨΗΛΟΣ
ψηφιζω,ΨΗΦΙΖΩ
ψυγειο,ΨΥΓΕΙΟ
ψυχη,ΨΥΧΗ
ψυχρα,ΨΥΧΡΑ
ψωμι,ΨΩΜΙ
ωμος,ΩΜΟΣ
ωρα,ΩΡΑ
ωραιος,ΩΡΑΙΟΣ
