concept,gloss
γειτονια,ΓΕΙΤΟΝΙΑ
γελω,ΓΕΛΩ
γενεθλια,ΓΕΝΕΘΛΙΑ
γεννα,ΓΕΝΝΑ
γερμανια,ΓΕΡΜΑΝΙΑ
γερος,ΓΕΡΟΣ
γευμα,ΓΕΥΜΑ
γευση,ΓΕΥΣΗ
γεφυρα,ΓΕΦΥΡΑ
γεωργος,ΓΕΩΡΓΟΣ
γη,ΓΗ
γιατρος,ΓΙΑΤΡΟΣ
γιορταζω,ΓΙΟΡΤΑΖΩ
γιος,ΓΙΟΣ
γκρι,ΓΚΡΙ
γλυκος,ΓΛΥΚΟΣ
γλωσσα,ΓΛΩΣΣΑ
γνωμη,ΓΝΩΜΗ
γνωριζω,ΓΝΩΡΙΖΩ
γνωριζω καποιον,ΓΝΩΡΙΖΩ_ΚΑΠΟΙΟΝ
γνωση,ΓΝΩΣΗ
γονατο,ΓΟΝΑΤΟ
γονεας,ΓΟΝΕΑΣ
γουστο,ΓΟΥΣΤΟ
γραμμα,ΓΡΑΜΜΑ
γραφειο,ΓΡΑΦΕΙΟ
γραφω,ΓΡΑΦΩ
γυμναστικη,ΓΥΜΝΑΣΤΙΚΗ
γυμνος,ΓΥΜΝΟΣ
γυναικα,ΓΥΝΑΙΚΑ
δανειζω,ΔΑΝΕΙΖΩ
δασκαλα,ΔΑΣΚΑΛΑ
δασος,ΔΑΣΟΣ
δαχτυλο,ΔΑΧΤΥΛΟ
δειλος,ΔΕΙΛΟΣ
δειχνω,ΔΕΙΧΝΩ
δεκεμβριος,ΔΕΚΕΜΒΡΙΟΣ
δεντρο,ΔΕΝΤΡΟ
δεξια,ΔΕΞΙΑ
δερμα,ΔΕΡΜΑ
δεσποινις,ΔΕΣΠΟΙΝΙΣ
δευτερα,ΔΕΥΤΕΡΑ
δεχομαι,ΔΕΧΟΜΑΙ
δηλητηριο,ΔΗΛΗΤΗΡΙΟ
δηλωνω,ΔΗΛΩΝΩ
δημαρχειο,ΔΗΜΑΡΧΕΙΟ
δημαρχος,ΔΗΜΑΡΧΟΣ
δημιουργω,ΔΗΜΙΟΥΡΓΩ
δημοκρατια,ΔΗΜΟΚΡΑΤΙΑ
δημοσιος,ΔΗΜΟΣΙΟΣ
διαβαζω,ΔΙΑΒΑΖΩ
διαθεση,ΔΙΑΘΕΣΗ
διακοπες,ΔΙΑΚΟΠΕΣ
διακοπτης,ΔΙΑΚΟΠΤΗΣ
διαλεγω,ΔΙΑΛΕΓΩ
διαλειμμα,ΔΙΑΛΕΙΜΜΑ
διαμαρτυρομαι,ΔΙΑΜΑΡΤΥΡΟΜΑΙ
διασημος,ΔΙΑΣΗΜΟΣ
διασκεδαζω,ΔΙΑΣΚΕΔΑΖΩ
διασταυρωση,ΔΙΑΣΤΑΥΡΩΣΗ
διαταζω,ΔΙΑΤΑΖΩ
διαφημιζω,ΔΙΑΦΗΜΙΖΩ
διαφορετικος,ΔΙΑΦΟΡΕΤΙΚΟΣ
διαφωνω,ΔΙΑΦΩΝΩ
διεθνης,ΔΙΕΘΝΗΣ
διευθυνση,ΔΙΕΥΘΥΝΣΗ
διευθυντης,ΔΙΕΥΘΥΝΤΗΣ
διηγουμαι,ΔΙΗΓΟΥΜΑΙ
δικαιος,ΔΙΚΑΙΟΣ
δικαιωμα,ΔΙΚΑΙΩΜΑ
δικαστηριο,ΔΙΚΑΣΤΗΡΙΟ
δικηγορος,ΔΙΚΗΓΟΡΟΣ
δικος μου,ΔΙΚΟΣ_ΜΟΥ
δινω,ΔΙΝΩ
διπλασιος,ΔΙΠΛΑΣΙΟΣ
δισταζω,ΔΙΣΤΑΖΩ
διψασμενος,ΔΙΨΑΣΜΕΝΟΣ
δοντι,ΔΟΝΤΙ
δουλεια,ΔΟΥΛΕΙΑ
δρομος,ΔΡΟΜΟΣ
δυνατος,ΔΥΝΑΤΟΣ
δυστυχως,ΔΥΣΤΥΧΩΣ
δυτικα,ΔΥΤΙΚΑ
δωματιο,ΔΩΜΑΤΙΟ
δωρο,ΔΩΡΟ
εβδομαδα,ΕΒΔΟΜΑΔΑ
εγω,ΕΓΩ
εδαφος,ΕΔΑΦΟΣ
εδω,ΕΔΩ
εθνικος,ΕΘΝΙΚΟΣ
ειδηση,ΕΙΔΗΣΗ
ειδοποιω,ΕΙΔΟΠΟΙΩ
ειδος,ΕΙΔΟΣ
ειρηνη,ΕΙΡΗΝΗ
εισιτηριο,ΕΙΣΙΤΗΡΙΟ
