concept,gloss
suivre,SUIVRE
sur le dessus,SUR_LE_DESSUS
suspect,SUSPECT
taille,TAILLE
tante,TANTE
taper a la machine,TAPER_A_LA_MACHINE
tapis,TAPIS
tasse,TASSE
taxi,TAXI
telephone portable,TELEPHONE_PORTABLE_
telephoner,TELEPHONER_
temporaire,TEMPORAIRE
temps,TEMPS
tente,TENTE
terre,TERRE
texte,TEXTE
the,THE_
theatre,THEATRE
theme,THEME
tissu,TISSU
toit,TOIT
tomate,TOMATE
toucher,TOUCHER
toujours,TOUJOURS
tournant,TOURNANT
tourner,TOURNER
tous les jours,TOUS_LES_JOURS_
tousser,TOUSSER
tout,TOUT
tout droit,TOUT_DROIT_
train,TRAIN_
travail,TRAVAIL
treize,_NUM-TREIZE
trente,_NUM-TRENTE
tres,TRES
tricoter,TRICOTER
trois,_NUM-TROIS
trouver,TROUVER
tube,TUBE
un,_NUM-UN
une personne,UNE_PERSONNE
usine,USINE_
utile,UTILE
utiliser,UTILISER
vacances,VACANCES
vache,VACHE
vapeur,VAPEUR
velo,VELO 
vendre,VENDRE
vendredi,VENDREDI 
venir,VENIR
vent,VENT
verite,VERITE
verre,VERRE
vert,VERT
veste,VESTE
vetements,VETEMENTS
viande,VIANDE
vide,VIDE
vie,VIE
vieux,VIEUX
villa,VILLA_
village,VILLAGE_
ville,VILLE_
vin,VIN
vingt,_NUM-VINGT
violence,VIOLENCE
vis,VIS
visage,VISAGE
vite,VITE
vivant,VIVANT
vivre,VIVRE_
voir,VOIR
voisin,VOISIN
voisinage,VOISINAGE
voiture,VOITURE_
voix,VOIX
volant,VOLANT
voler,VOLER
voter,VOTER
vouloir,VOULOIR
vous,VOUS_
vrai,VRAI 
vue,VUE
zero,_NUM-ZERO
