concept,gloss
euro,EURO1^
evil,EVIL2^
ex partner,EX-PARTNER1^
exact,EXACT4^
example,EXAMPLE1^
expensive,EXPENSIVE1^
experiment,EXPERIMENT1^
explosion,EXPLOSION1^
eye,EYE1^
eye open,EYE-OPEN2^
fabric,FABRIC1A^
face,FACE1^
facial expression,FACIAL-EXPRESSION1^
family,FAMILY4^
family asl,FAMILY-ASL1^
fan,FAN3^
far,FAR1^
farmer,FARMER2^
farsightedness,FARSIGHTEDNESS1B^
fascinating,FASCINATING1^
fast,FAST1A^
fat,FAT3^
father,FATHER1^
fax,FAX1^
fear,FEAR1^
february,FEBRUARY2^
feeling,FEELING1^
fight,FIGHT1A^
filling,FILLING1B^
fine,FINE4^
finger,FINGER3^
fingernail,FINGERNAIL2^
fire,FIRE1A^
fish,FISH1^
flag,FLAG1A^
flap,FLAP1A^
flat,FLAT1A^
flower,FLOWER2^
flowing spurt,FLOWING-SPURT1^
foolish,FOOLISH1^
foot,FOOT1^
football,FOOTBALL1A^
for,FOR1^
frame,FRAME1A^
france,FRANCE3A^
free,FREE1^
fresh,FRESH1^
friday,FRIDAY1A^
from to,FROM-TO1^
frustration,FRUSTRATION2^
full,FULL1^
fun,FUN1^
function,FUNCTION1B^
funfair,FUNFAIR1^
furniture,FURNITURE2^
further,FURTHER1A^
fürth,FÜRTH2A^
gdr,GDR1A^
gene,GENE1^
gesture,GESTURE1^
girl,GIRL1^
glass,GLASS3^
glasses,GLASSES1A^
glove,GLOVE1^
go start,GO-START1^
gone to lose sth,GONE-TO-LOSE-STH1^
good,GOOD1^
gook,GOOK1^
goose bumps,GOOSE-BUMPS1^
gossip,GOSSIP3^
grains,GRAINS1^
grandma,GRANDMA1A^
great,GREAT1A^
green,GREEN1^
grey,GREY3^
groin,GROIN1B^
group,GROUP1A^
guarantee,GUARANTEE1^
gymnastics,GYMNASTICS1^
hail,HAIL1B^
hair,HAIR2^
hamburg,HAMBURG1^
hamster,HAMSTER1^
hand,HAND1^
hands off,HANDS-OFF1^
hanover,HANOVER1^
happy,HAPPY1^
hard,HARD1A^
hard of hearing,HARD-OF-HEARING1^
harmless,HARMLESS1^
hat off,HAT-OFF1^
head,HEAD3^
headache,HEADACHE1A^
headdress,HEADDRESS1^
headphones,HEADPHONES1^
healthy,HEALTHY1A^
hearing,HEARING1A^
hearing aid,HEARING-AID1^
heart,HEART1A^
heartbeat,HEARTBEAT2B^
heater,HEATER2A^
heavy,HEAVY1A^
heilbronn,HEILBRONN1^
helmet,HELMET2^
hesse,HESSE1A^
hip,HIP1A^
history or story,HISTORY-OR-STORY1^
hole,HOLE1A^
home,HOME4^
hooked nose,HOOKED-NOSE1A^
horns,HORNS3A^
horse,HORSE1^
hour,HOUR2A^
house,HOUSE1A^
how much,HOW-MUCH1^
how question,HOW-QUESTION1^
how question comparison,HOW-QUESTION-COMPARISON1^
i see,I-SEE1^
ice,ICE2^
id card,ID-CARD3^
imagination,IMAGINATION1A^
important,IMPORTANT1^
in,IN1^
in addition,IN-ADDITION1^
in addition more and more,IN-ADDITION-MORE-AND-MORE1^
inclusive,INCLUSIVE1^
inflammation,INFLAMMATION1A^
influence,INFLUENCE1^
injection,INJECTION1A^
innocent,INNOCENT1^
inside,INSIDE1A^
integration,INTEGRATION1^
intelligent,INTELLIGENT1^
interest,INTEREST1A^
international,INTERNATIONAL1^
interpreter,INTERPRETER1^
investment or unit,INVESTMENT-OR-UNIT1^
involved,INVOLVED1A^
it happens,IT-HAPPENS1^
it works out,IT-WORKS-OUT1^
italy,ITALY1^
january,JANUARY4^
journey,JOURNEY1B^
july,JULY12^
june,JUNE4A^
karlsruhe,KARLSRUHE1^
keyboard,KEYBOARD1^
kiel,KIEL1^
kiss on the hand,KISS-ON-THE-HAND1^
knee,KNEE1A^
lack,LACK1^
lad,LAD3^
language,LANGUAGE1^
larynx,LARYNX1^
last,LAST1A^
late,LATE1^
latvia,LATVIA1^
leaf,LEAF1^
lecture,LECTURE1^
lecturer,LECTURER1^
leg,LEG1C^
legal,LEGAL1^
lever,LEVER2^
life partner,LIFE-PARTNER1^
like,LIKE1^
like this,LIKE-THIS1^
likeable,LIKEABLE1^
lion,LION1^
liquid,LIQUID2^
little bit,LITTLE-BIT2^
liver,LIVER1C^
location,LOCATION1A^
london,LONDON1^
long time,LONG-TIME4A^
loose,LOOSE1^
loss,LOSS1A^
lost hearing,LOST-HEARING1^
loud,LOUD1B^
love,LOVE1A^
low,LOW1A^
lower back,LOWER-BACK1E^
luck,LUCK1^
lunch or noon,LUNCH-OR-NOON2^
lungs,LUNGS2A^
luxury,LUXURY3^
machine,MACHINE1A^
magdeburg,MAGDEBURG1^
mail,MAIL1B^
main,MAIN1A^
man,MAN3^
march,MARCH4^
mass of people active,MASS-OF-PEOPLE-ACTIVE1^
massage,MASSAGE1^
master,MASTER1^
material,MATERIAL1A^
mature,MATURE3^
may,MAY3A^
meadow,MEADOW1^
meaning,MEANING1^
measure,MEASURE2A^
measure horizontal,MEASURE-HORIZONTAL4A^
measure vertical,MEASURE-VERTICAL1^
measure vertical bigger,MEASURE-VERTICAL-BIGGER1^
measure vertical smaller,MEASURE-VERTICAL-SMALLER2^
meat,MEAT13^
memory or reminder,MEMORY-OR-REMINDER2^
menstruation,MENSTRUATION1^
meticulous,METICULOUS1^
middle,MIDDLE1A^
minus,MINUS1^
minute,MINUTE1^
mirror,MIRROR1^
misfortune,MISFORTUNE1^
mistake,MISTAKE1^
mister,MISTER1^
modern,MODERN1A^
molecules,MOLECULES2^
monday,MONDAY1A^
money,MONEY1A^
monkey,MONKEY1^
month,MONTH1^
month calendar,MONTH-CALENDAR11^
moon,MOON1B^
more,MORE1^
motivation,MOTIVATION3^
motorway,MOTORWAY1^
mould,MOULD1^
mountain,MOUNTAIN1A^
mouse,MOUSE2^
moustache,MOUSTACHE2A^
mouth,MOUTH2^
mouth odour,MOUTH-ODOUR1A^
movement,MOVEMENT1A^
movie,MOVIE1A^
much or many,MUCH-OR-MANY1A^
mucus in respiratory passages,MUCUS-IN-RESPIRATORY-PASSAGES1^
mum,MUM1A^
muscle,MUSCLE3^
mushroom,MUSHROOM1A^
music,MUSIC1A^
must,MUST1A^
münster,MÜNSTER1^
naked,NAKED1^
name,NAME1A^
narrow,NARROW1A^
narrow thin,NARROW-THIN1^
nasal,NASAL1A^
naturally,NATURALLY1B^
nature,NATURE1^
neck,NECK1^
neck long,NECK-LONG1^
need,NEED1A^
negative,NEGATIVE1^
nerves,NERVES1A^
nervous,NERVOUS1A^
net,NET1A^
neutral,NEUTRAL1A^
new,NEW1A^
no,NO1A^
no clue,NO-CLUE1^
no interest,NO-INTEREST1^
none,NONE1^
north,NORTH1A^
north rhine westphalia,NORTH-RHINE-WESTPHALIA2^
nose,NOSE2^
not,NOT2^
nothing,NOTHING1B^
november,NOVEMBER3^
now,NOW2^
nuremberg,NUREMBERG1A^
nurse cap,NURSE-CAP1A^
oak,OAK1^
object,OBJECT1^
occupied or owned,OCCUPIED-OR-OWNED1A^
october,OCTOBER11^
off,OFF1A^
okay,OKAY1A^
old,OLD2A^
on,ON1A^
on person,ON-PERSON1^
once more,ONCE-MORE1A^
one of the two,ONE-OF-THE-TWO1^
open mouthed,OPEN-MOUTHED1^
oral,ORAL1^
organ,ORGAN1A^
orientation,ORIENTATION1A^
otherwise,OTHERWISE1^
outdoors,OUTDOORS1A^
outwards,OUTWARDS1^
over,OVER1^
over or about,OVER-OR-ABOUT1^
own,OWN1A^
parallel,PARALLEL1A^
paralysis,PARALYSIS1^
parents,PARENTS2^
party political,PARTY-POLITICAL1^
past,PAST1^
patience,PATIENCE1B^
pattern,PATTERN3A^
peace,PEACE1^
penalty,PENALTY1A^
penis,PENIS1^
percent,PERCENT1^
perception,PERCEPTION1^
period,PERIOD1A^
person,PERSON1^
pharmacy,PHARMACY1B^
phone,PHONE1A^
photo,PHOTO1^
physician,PHYSICIAN2^
picture,PICTURE3^
piece,PIECE2^
pigheaded,PIGHEADED1^
pill,PILL1^
pimple,PIMPLE1B^
pipe,PIPE2A^
pistol move,PISTOL-MOVE1A^
plain,PLAIN1A^
plane,PLANE3A^
plant,PLANT1^
plant factory,PLANT-FACTORY4^
pleasant,PLEASANT1^
please,PLEASE2^
point,POINT1A^
pointless,POINTLESS3A^
poise body,POISE-BODY1^
poison,POISON1A^
poland,POLAND2^
polite,POLITE1^
pop eye,POP-EYE1^
porous,POROUS1B^
poverty,POVERTY2^
powder,POWDER1A^
present or here,PRESENT-OR-HERE1^
pressure,PRESSURE2^
pressure to press,PRESSURE-TO-PRESS1B^
primarily,PRIMARILY1^
prison,PRISON2^
private,PRIVATE1A^
problem,PROBLEM1^
