concept,gloss
to spend or to distribute,TO-SPEND-OR-TO-DISTRIBUTE1^
to spin,TO-SPIN2A^
to spit,TO-SPIT1A^
to splash,TO-SPLASH2A^
to spot,TO-SPOT1^
to spread,TO-SPREAD1A^
to squeeze,TO-SQUEEZE3^
to stab,TO-STAB3^
to stand,TO-STAND1A^
to steal,TO-STEAL1^
to steer steering wheel,TO-STEER-STEERING-WHEEL1^
to step pedal,TO-STEP-PEDAL3^
to stick,TO-STICK1^
to stir,TO-STIR1^
to strike,TO-STRIKE1A^
to struggle through,TO-STRUGGLE-THROUGH3^
to stuff,TO-STUFF2^
to suck,TO-SUCK2^
to suffer,TO-SUFFER1A^
to swallow,TO-SWALLOW1^
to swarm,TO-SWARM1^
to sweat,TO-SWEAT1A^
to sweep,TO-SWEEP1B^
to swim,TO-SWIM1^
to switch off head,TO-SWITCH-OFF-HEAD1^
to switch off voice,TO-SWITCH-OFF-VOICE1^
to take,TO-TAKE1A^
to taste,TO-TASTE1A^
to teach,TO-TEACH1^
to tell,TO-TELL1^
to threat,TO-THREAT1^
to throw,TO-THROW1^
to tick,TO-TICK2^
to tie up,TO-TIE-UP1A^
to tinker,TO-TINKER1A^
to tolerate,TO-TOLERATE1^
to touch,TO-TOUCH1A^
to tow,TO-TOW1^
to transfer,TO-TRANSFER1A^
to trickle,TO-TRICKLE1A^
to trump,TO-TRUMP1^
to try or rehearsal,TO-TRY-OR-REHEARSAL2^
to turn,TO-TURN1A^
to understand,TO-UNDERSTAND1^
to upset,TO-UPSET1A^
to use sth up,TO-USE-STH-UP1A^
to visit or to attend,TO-VISIT-OR-TO-ATTEND1^
to vomit,TO-VOMIT1^
to wait,TO-WAIT1A^
to want,TO-WANT2^
to want no part of sth,TO-WANT-NO-PART-OF-STH2^
to warm,TO-WARM1^
to wiggle ones ears,TO-WIGGLE-ONES-EARS1A^
to win,TO-WIN1^
to wind,TO-WIND2^
to wish,TO-WISH2A^
to wobble,TO-WOBBLE1^
to work,TO-WORK1^
to worry,TO-WORRY1A^
to write,TO-WRITE1A^
together,TOGETHER2A^
together group,TOGETHER-GROUP1^
together person,TOGETHER-PERSON1^
tolerant,TOLERANT1^
tongue,TONGUE1^
tonsils,TONSILS1A^
tooth,TOOTH1^
trade or negotiation,TRADE-OR-NEGOTIATION1^
tradition,TRADITION2A^
traffic,TRAFFIC1B^
train,TRAIN1A^
train station,TRAIN-STATION1^
tree,TREE1A^
trivial,TRIVIAL1^
trouble,TROUBLE1^
trunk,TRUNK1^
tuesday,TUESDAY10A^
typical,TYPICAL1^
unconscious,UNCONSCIOUS1^
unconsciously,UNCONSCIOUSLY1^
under,UNDER1A^
uneven,UNEVEN1^
union,UNION2A^
university,UNIVERSITY2^
until now,UNTIL-NOW1^
until then,UNTIL-THEN1^
until today,UNTIL-TODAY1B^
upper back,UPPER-BACK1A^
upwards,UPWARDS1^
urine,URINE1^
usher syndrome,USHER-SYNDROME2^
vagina,VAGINA2^
value,VALUE1A^
veil,VEIL1^
vein,VEIN1B^
very,VERY6^
vest,VEST1^
violence,VIOLENCE1^
violin,VIOLIN1^
vocal cords,VOCAL-CORDS1^
wage,WAGE1^
waggon,WAGGON1^
waistbelt,WAISTBELT1A^
wall comes down,WALL-COMES-DOWN1^
warm,WARM1A^
water,WATER2A^
wave line,WAVE-LINE1^
weak,WEAK2^
weather,WEATHER2^
wednesday,WEDNESDAY1^
week,WEEK2^
weird,WEIRD1^
welcome,WELCOME1A^
well known,WELL-KNOWN1A^
what,WHAT1A^
whatever,WHATEVER1A^
wheelchair,WHEELCHAIR2A^
when,WHEN1^
where from,WHERE-FROM1^
whiskers,WHISKERS1B^
whistle,WHISTLE1^
white,WHITE1A^
who,WHO3^
why,WHY1^
will,WILL6^
wing,WING1^
woman,WOMAN2A^
wood plane,WOOD-PLANE2^
word,WORD2^
worm,WORM2^
wrinkle cheek,WRINKLE-CHEEK1A^
year,YEAR1A^
yellow,YELLOW5^
yes,YES1A^
you,YOU1^
young,YOUNG1^
your choice,YOUR-CHOICE1A^
zero,ZERO2B^
zigzag curve,ZIGZAG-CURVE1A^
zoom,ZOOM1^
zwickau,ZWICKAU1^
